time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,14.4,89,3.6,2025-12-11,0,mild,12.620000000000001
2025-12-11 01:00:00,13.8,91,3.3,2025-12-11,1,mild,11.98
2025-12-11 02:00:00,13.6,91,3.6,2025-12-11,2,mild,11.78
2025-12-11 03:00:00,13.2,91,4.0,2025-12-11,3,mild,11.379999999999999
2025-12-11 04:00:00,12.5,93,4.0,2025-12-11,4,mild,10.64
2025-12-11 05:00:00,11.9,90,4.0,2025-12-11,5,mild,10.1
2025-12-11 06:00:00,12.0,90,4.0,2025-12-11,6,mild,10.2
2025-12-11 07:00:00,15.5,86,3.1,2025-12-11,7,mild,13.78
2025-12-11 08:00:00,20.2,74,2.2,2025-12-11,8,warm,18.72
2025-12-11 09:00:00,22.0,69,2.5,2025-12-11,9,warm,20.62
2025-12-11 10:00:00,23.3,62,1.8,2025-12-11,10,warm,22.060000000000002
2025-12-11 11:00:00,24.4,58,1.3,2025-12-11,11,warm,23.24
2025-12-11 12:00:00,25.1,55,2.8,2025-12-11,12,warm,24.0
2025-12-11 13:00:00,25.3,55,3.8,2025-12-11,13,warm,24.2
2025-12-11 14:00:00,25.0,58,4.8,2025-12-11,14,warm,23.84
2025-12-11 15:00:00,23.9,63,6.1,2025-12-11,15,warm,22.639999999999997
2025-12-11 16:00:00,21.3,72,4.1,2025-12-11,16,warm,19.86
2025-12-11 17:00:00,18.5,82,3.3,2025-12-11,17,mild,16.86
2025-12-11 18:00:00,17.7,80,3.2,2025-12-11,18,mild,16.099999999999998
2025-12-11 19:00:00,17.1,79,3.1,2025-12-11,19,mild,15.520000000000001
2025-12-11 20:00:00,16.8,78,2.9,2025-12-11,20,mild,15.24
2025-12-11 21:00:00,16.9,77,2.3,2025-12-11,21,mild,15.36
2025-12-11 22:00:00,16.8,77,2.3,2025-12-11,22,mild,15.260000000000002
2025-12-11 23:00:00,16.3,79,2.9,2025-12-11,23,mild,14.72
2025-12-12 00:00:00,15.5,83,3.2,2025-12-12,0,mild,13.84
2025-12-12 01:00:00,14.7,87,3.7,2025-12-12,1,mild,12.959999999999999
2025-12-12 02:00:00,14.0,87,3.3,2025-12-12,2,mild,12.26
2025-12-12 03:00:00,13.8,87,3.3,2025-12-12,3,mild,12.06
2025-12-12 04:00:00,13.2,88,3.7,2025-12-12,4,mild,11.44
2025-12-12 05:00:00,12.5,90,4.4,2025-12-12,5,mild,10.7
2025-12-12 06:00:00,12.2,92,4.5,2025-12-12,6,mild,10.36
2025-12-12 07:00:00,15.6,87,3.5,2025-12-12,7,mild,13.86
2025-12-12 08:00:00,19.8,74,2.6,2025-12-12,8,mild,18.32
2025-12-12 09:00:00,22.0,66,2.1,2025-12-12,9,warm,20.68
2025-12-12 10:00:00,23.4,59,1.3,2025-12-12,10,warm,22.22
2025-12-12 11:00:00,24.5,55,1.6,2025-12-12,11,warm,23.4
2025-12-12 12:00:00,25.3,53,2.8,2025-12-12,12,warm,24.240000000000002
2025-12-12 13:00:00,25.5,54,4.1,2025-12-12,13,warm,24.42
2025-12-12 14:00:00,25.0,59,5.4,2025-12-12,14,warm,23.82
2025-12-12 15:00:00,23.8,64,5.7,2025-12-12,15,warm,22.52
2025-12-12 16:00:00,21.3,75,4.3,2025-12-12,16,warm,19.8
2025-12-12 17:00:00,18.5,88,3.3,2025-12-12,17,mild,16.74
2025-12-12 18:00:00,17.5,89,2.6,2025-12-12,18,mild,15.72
2025-12-12 19:00:00,17.3,87,2.8,2025-12-12,19,mild,15.56
2025-12-12 20:00:00,16.8,85,2.7,2025-12-12,20,mild,15.100000000000001
2025-12-12 21:00:00,16.5,84,2.9,2025-12-12,21,mild,14.82
2025-12-12 22:00:00,16.0,85,3.5,2025-12-12,22,mild,14.3
2025-12-12 23:00:00,15.2,88,4.0,2025-12-12,23,mild,13.44
